Date,Open,High,Low,Close,Adj Close,Volume
2021-06-11,17.479500,17.939251,17.443750,17.825251,17.793091,416308000
2021-06-14,17.906000,18.039499,17.662750,18.018749,17.986237,321376000
2021-06-15,17.915001,18.016251,17.728001,17.788500,17.756399,243032000
2021-06-16,17.790751,17.954750,17.584499,17.810249,17.778107,307124000
2021-06-17,17.774500,18.834999,17.756250,18.657249,18.623585,809656000
2021-06-18,18.784000,19.375000,18.584000,18.638750,18.605118,968856000
2021-06-21,18.435249,18.536501,17.822750,18.427250,18.393999,672384000
2021-06-22,18.471500,18.963751,18.386000,18.886749,18.852673,580144000
2021-06-23,19.007750,19.152750,18.907749,19.057249,19.022861,332356000
2021-06-24,19.227751,19.420000,19.088249,19.205500,19.170845,320924000
2021-06-25,19.280500,19.345501,18.894501,19.031000,18.996658,278364000
2021-06-28,19.361250,20.078751,19.319000,19.985001,19.948936,495436000
2021-06-29,19.882500,20.098749,19.657000,20.026751,19.990612,367632000
2021-06-30,19.999250,20.162500,19.863750,20.002501,19.966404,326568000
2021-07-01,20.125000,20.455999,20.018999,20.212000,20.175529,480136000
2021-07-02,20.440250,20.505251,20.287750,20.487000,20.450031,342764000
2021-07-06,20.737499,20.841999,20.350250,20.698500,20.661148,446708000
2021-07-07,20.853500,20.875000,20.332001,20.371750,20.334990,418428000
2021-07-08,19.856501,20.132999,19.700750,19.902750,19.866838,503300000
2021-07-09,19.962500,20.080250,19.754250,20.050249,20.014069,296624000
2021-07-12,20.240000,20.532749,20.187750,20.512501,20.475491,321984000
2021-07-13,20.400499,20.461250,20.114000,20.250000,20.213459,290708000
2021-07-14,20.357750,20.417749,19.752750,19.841499,19.805696,380100000
2021-07-15,19.811750,19.847000,18.858500,18.966249,18.932028,550564000
2021-07-16,19.030500,19.157000,18.073000,18.160999,18.128231,688224000
2021-07-19,17.915251,19.042000,17.865499,18.779751,18.745863,749060000
2021-07-20,18.730000,18.837999,18.164000,18.612000,18.578417,434687000
